Response ID,pid_ra,partner_ID,pid,sim_self,sim_other,dissim_self,dissim_other,social_desirability,age,sex,race,college_year
R_3PB78m1e7TOU7gg,65542,65078,133,6,4,5,3,17,18,2,2,1
R_2VywsUW0sFdWGlp,66612,65569,134,6,6,5,4,20,20,2,4,2
R_2c0DZXI1NnSNa1B,51508,59837,135,5,5,4,4,16,21,2,2,4
R_1JKhcAfMHz7hls0,59837,51508,136,6,5,5,5,21,20,2,2,3
R_21aMSxbRHCZW3Zz,51507,65105,137,6,5,5,4,22,21,2,2,4
R_qyzFr9hvcHKGQc9,60195,66644,138,5,5,4,4,20,22,2,2,3
R_3mlPdLP8UbRroRm,66642,60195,139,5,5,6,6,19,20,1,2,3
R_UKGdmGeX6fqILXb,65105,51507,140,5,6,5,4,20,19,1,2,2
R_9SIPFiFzIhaFvhv,66775,65008,141,3,4,5,3,17,19,2,2,2
R_tWExaFz2M39BSeJ,65008,66775,142,6,4,4,5,17,19,1,3,2
R_1qb3Wk4y1Yli7Zz,60244,65581,143,7,7,2,4,15,20,2,2,3
R_a99gp1C0R8Wc03T,65581,60244,144,5,5,4,4,22,19,2,2,2
R_V1C9FXDmMNJTxcd,51318,66798,145,2,1,3,1,20,21,2,8,4
R_2AYK2zejCXDPaIB,59812,60234,146,3,3,3,3,16,20,2,6,3
R_2z7rAE8qGT47GUO,60524,66608,147,6,5,4,4,17,20,2,2,3
R_2VwKFxF0fGWxR1y,60234,59812,148,6,6,5,5,19,20,2,2,3
R_2QDldqN53FMZnvl,61968,59877,149,5,5,4,4,24,20,2,2,3
R_1lrZrKRWz06QHBx,58613,65255,150,6,5,4,3,15,20,2,2,3
R_3ER6P9zVCKW1SOR,66630,66770,151,7,7,5,4,18,19,2,2,2
R_3pGaUCMbvaOytgd,66748,51318,152,6,4,5,5,22,21,2,2,3
R_UnIANjC6tzhzEch,66770,66630,153,5,3,5,2,20,20,2,8,3
R_247BSvX0waRpSxS,59877,61968,154,5,6,4,5,16,20,2,3,3
R_1i3cTq7WLZ0mZYS,65255,58613,155,6,6,6,6,23,19,1,6,2
R_2R4fRw1QZGVEjdL,58670,58696,156,4,5,3,3,16,21,1,3,3
R_U9F8jI87ooNJHHP,58696,58670,157,4,5,3,3,18,20,2,8,3
R_3sbSAaWUfqHYbMn,66608,60524,158,5,3,5,2,20,21,1,6,4
R_2SdbEuBVT8JsVoS,66687,66789,159,7,5,5,3,16,18,2,2,1
R_0jrpk3tED20in4J,66675,66791,160,5,4,5,4,17,20,1,4,3
R_2wNZksvuXQ63kzi,66789,66687,161,7,7,1,1,16,19,2,6,2
R_1eVHre1IClg49gs,66791,66675,162,5,5,5,5,23,21,1,2,4
R_3FPTwdP8Dj92Cjg,63633,51101,163,7,7,3,6,17,20,2,2,3
R_2YYCsdKbjOAjSVD,66674,65205,164,7,6,6,4,16,19,1,6,2
R_2aJqYHv7rGQXC2q,51101,63633,165,5,5,5,4,21,21,1,6,4
R_SAINbbR2d0ywLhT,65205,66674,166,6,6,4,4,19,19,2,2,2
R_1LNn0OEpBq7y8M6,58767,58661,167,5,5,5,5,21,20,2,2,3
R_2qz66IkNw4vOq2N,58661,58767,168,6,6,6,6,18,21,1,4,3
R_3nfv20lp5VFaRBC,66806,53513,169,5,4,5,3,18,20,1,8,2
R_1mngyr697TDQhdB,53513,66806,170,6,7,4,4,18,21,2,3,4
R_33kC00BcJg76MCy,61812,66828,171,5,5,4,4,15,20,2,2,3
R_2WJxzfXGJ5Jdnps,66597,63538,172,6,5,5,5,16,19,2,2,2
R_1GNVlLv2UEb5uso,63538,66597,173,6,6,3,3,18,21,2,2,4
R_1on9J49KVbBG37W,66828,61812,174,5,5,6,5,24,19,2,6,2
R_3dRDjrVtf6YdzjR,66754,51154,175,5,4,3,3,15,19,2,2,2
R_3LcHjDyNlqSt1Dw,66740,60250,176,5,5,3,3,15,19,2,6,2
R_vHyD5gcirh2cx6p,51154,66754,177,6,5,3,3,17,21,2,2,4
R_3EGStwOO61SAlY9,60250,66740,178,6,6,6,5,17,20,1,2,2
R_3dKgVeDsPxvaOOf,66827,58514,179,5,4,5,4,17,20,2,2,3
R_1eR8TsHFszUJoVf,61779,52368,180,6,6,6,6,22,21,2,2,4
R_6Ls5SGoBt9vSlKp,58514,66827,181,4,6,5,4,17,20,2,8,4
R_UarZbwT62lBmPBL,62070,60366,182,6,4,2,1,20,20,2,4,3
R_1f9mpc9aM2zbCSw,60366,60270,183,6,6,2,2,20,20,2,8,3
R_10oYOGfs7EBA6bu,52368,61779,184,4,4,4,4,13,21,1,2,4
R_ZxSNQCx51VdnJgB,60300,58766,185,3,2,3,2,19,20,2,2,3
R_2SJ4ittoIFowI6H,66606,66786,186,6,6,2,2,15,20,2,2,4
R_1OxciIQf3197dju,66676,65232,187,5,4,3,2,14,19,2,2,2
R_2VjN6rtfflYJp6p,45232,66676,188,6,6,4,4,17,19,1,2,2
R_3O0LIbVtchtjdLl,66786,66606,189,6,6,4,4,21,21,2,2,4
R_XAHFZd6nErTcQ5X,66820,60378,190,3,2,3,2,17,22,1,4,4
R_2xWsLffAwWEiLPX,58766,60300,191,6,6,4,3,23,21,1,3,4
R_afsgFH5eF1EVnSF,60378,66820,192,5,5,3,4,14,20,2,3,3
